ticker,date,open,close,bid,ask,52_week_low,52_week_high,volume,avg_volume,market_cap,pe_ratio,eps,currency,fetched_at
GOOGL,2026-05-27,386.6650085449219,388.83,388.23,390.2,162.0,408.61,22269303,28177638,4710847741952,29.659039,13.11,USD,2026-05-27 23:22:17
AMZN,2026-05-27,266.1499938964844,271.85,271.05,271.97,196.0,278.56,39653628,44877013,2924320391168,32.440334,8.38,USD,2026-05-27 23:22:18
MSFT,2026-05-27,411.0450134277344,412.67,411.53,414.47,356.28,555.45,27178223,33415241,3065492275200,24.54908,16.81,USD,2026-05-27 23:22:18
NVDA,2026-05-27,214.1199951171875,212.6,212.57,212.95,132.92,236.54,161326568,164663923,5149384769536,32.557426,6.53,USD,2026-05-27 23:22:18
TSLA,2026-05-27,442.8150024414063,440.36,440.27,440.54,273.21,498.83,44260767,61800265,1653870428160,407.74072,1.08,USD,2026-05-27 23:22:18
META,2026-05-27,609.760009765625,635.255,634.66,644.8,520.26,796.25,22567525,15540486,1612546048000,23.108585,27.49,USD,2026-05-27 23:22:19
NFLX,2026-05-27,87.0459976196289,87.35,82.55,89.61,75.01,134.115,21488024,39799376,367813263360,28.17742,3.1,USD,2026-05-27 23:22:19
AAPL,2026-05-28,310.67999267578125,312.51,312.03,312.94,195.07,313.26,44630908,43779844,4589945880576,37.78839,8.27,USD,2026-05-28 23:38:56
GOOGL,2026-05-28,387.9549865722656,390.13,388.02,393.98,162.0,408.61,20930770,28094344,4726597877760,29.780916,13.1,USD,2026-05-28 23:38:56
AMZN,2026-05-28,272.239990234375,274.0,273.55,274.95,196.0,278.56,38605367,44797318,2947448045568,31.897554,8.59,USD,2026-05-28 23:38:56
MSFT,2026-05-28,412.9750061035156,426.99,426.75,427.03,356.28,555.45,46777202,33340654,3171867426816,25.416073,16.8,USD,2026-05-28 23:38:57
NVDA,2026-05-28,211.2749938964844,214.25,213.82,214.62,132.92,236.54,141557394,164714113,5189349146624,32.810104,6.53,USD,2026-05-28 23:38:57
TSLA,2026-05-28,437.614990234375,442.1,442.14,444.0,273.21,498.83,32191161,61520908,1660405547008,401.9091,1.1,USD,2026-05-28 23:38:57
META,2026-05-28,639.97998046875,635.29,634.27,642.0,520.26,796.25,16411778,15663213,1612634914816,23.093056,27.51,USD,2026-05-28 23:38:58
NFLX,2026-05-28,86.83999633789062,86.36,82.47,91.28,75.01,134.115,37592049,39517034,363644583936,27.858065,3.1,USD,2026-05-28 23:38:58
AAPL,2026-05-29,311.7749938964844,312.06,302.64,313.97,195.07,315.0,56381546,43851148,4583336181760,37.825455,8.25,USD,2026-05-29 23:20:35
GOOGL,2026-05-29,385.239990234375,380.34,377.53,399.0,162.0,408.61,44249622,28034006,4607987679232,29.011442,13.11,USD,2026-05-29 23:20:35
AMZN,2026-05-29,271.31500244140625,270.64,270.76,274.5,196.0,278.56,54582943,44730654,2911304417280,31.251734,8.66,USD,2026-05-29 23:20:35
MSFT,2026-05-29,432.7124938964844,450.24,445.1,451.97,356.28,555.45,77168677,33564600,3344578379776,26.831942,16.78,USD,2026-05-29 23:20:36
NVDA,2026-05-29,214.4499969482422,211.14,211.13,211.22,132.92,236.54,230465710,164380275,5114022068224,32.333843,6.53,USD,2026-05-29 23:20:36
TSLA,2026-05-29,439.8450012207031,435.79,435.61,450.0,273.21,498.83,44967971,61051924,1636706942976,392.6036,1.11,USD,2026-05-29 23:20:36
META,2026-05-29,633.969970703125,632.51,618.1,632.73,520.26,796.25,19726619,15682595,1605578129408,22.992002,27.51,USD,2026-05-29 23:20:37
NFLX,2026-05-29,86.25,86.02,84.8,90.66,75.01,134.115,35649267,39504393,362212884480,27.748386,3.1,USD,2026-05-29 23:20:37
AAPL,2026-05-30,311.7799987792969,312.06,302.64,313.97,195.07,315.0,56381546,44266930,4583336181760,37.733974,8.27,USD,2026-05-30 23:04:57
