date,headline,ticker,source,neg,neu,pos,compound,sentiment_label
2026-02-19,Legendary fund manager drops $2.52 billion on mega-cap tech stock - thestreet.com,AMZN,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Warren Buffett’s Last Move Was Selling Amazon And Buying This Stock Instead - 24/7 Wall St.,AMZN,Google RSS,0.0,0.898,0.102,0.1779,positive
2026-02-20,"Down 22%, 3 Reasons to Buy the Dip on Amazon Stock - Nasdaq",AMZN,Google RSS,0.0,0.876,0.124,0.1779,positive
2026-02-20,Amazon Stock (AMZN) Rises as It Blames AI-Linked Outages on ‘User Error’ - TipRanks,AMZN,Google RSS,0.165,0.732,0.104,-0.25,negative
2026-02-19,Amazon Stock Is Slumping. But The Tech Giant Just Dethroned Walmart For This Milestone. - Investor's Business Daily,AMZN,Google RSS,0.0,0.926,0.074,0.09,neutral
2026-02-18,Amazon Stock Snapped Its Worst Losing Streak Since 2006. It Could Be Time to Buy. - Barron's,AMZN,Google RSS,0.299,0.625,0.076,-0.7184,negative
2026-02-21,Why Amazon.com Stock May Drop Soon - Trefis,AMZN,Google RSS,0.231,0.769,0.0,-0.2732,negative
2026-02-18,How Amazon’s ‘underappreciated’ AI potential could drive the stock 50% higher - MarketWatch,AMZN,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-17,Amazon snaps 9-day losing streak during which it lost more than $450 billion in value - CNBC,AMZN,Google RSS,0.223,0.591,0.186,-0.2023,negative
2026-02-16,"After Earnings, Is Amazon Stock a Buy, a Sell, or Fairly Valued? - Morningstar Canada",AMZN,Google RSS,0.0,0.739,0.261,0.5574,positive
2026-02-20,"Down 22%, 3 Reasons to Buy the Dip on Amazon Stock - The Motley Fool",AMZN,Google RSS,0.165,0.739,0.097,-0.296,negative
2026-02-18,Is Amazon Stock a Buy After Falling 13% This Year? - Nasdaq,AMZN,Google RSS,0.12,0.752,0.128,0.0258,neutral
2026-02-22,"This ""Magnificent Seven"" Stock Is Down 22%. Buy It Before It Sets a New All-Time High. - The Motley Fool",AMZN,Google RSS,0.117,0.726,0.157,0.25,positive
2026-02-22,Walmart vs. Amazon: Which Trillion-Dollar Stock Is a Better Buy Right Now? - The Motley Fool,AMZN,Google RSS,0.141,0.634,0.224,0.1779,positive
2026-02-21,Better Stock to Buy Right Now: Amazon vs. Home Depot - The Motley Fool,AMZN,Google RSS,0.157,0.595,0.249,0.1779,positive
2026-02-22,Microsoft or Amazon: Billionaire Steve Cohen Pulls the Trigger on One Top AI Stock - TipRanks,AMZN,Google RSS,0.0,0.8,0.2,0.3612,positive
2026-02-21,Here’s Why Analysts Are Backing Amazon Stock Right Now - TIKR.com,AMZN,Google RSS,0.0,0.763,0.237,0.2023,positive
2026-02-18,Did Warren Buffett Give Up on Amazon? He Sold 77% Before Leaving - 24/7 Wall St.,AMZN,Google RSS,0.0,0.898,0.102,0.1779,positive
2026-02-19,Amazon overtakes Walmart to lead the world in sales - CNN,AMZN,Google RSS,0.0,0.855,0.145,0.1779,positive
2026-02-18,"Amazon, Bank of America, and Apple Stocks Shrug Off Berkshire Sales. Why They’re Rising. - Barron's",AMZN,Google RSS,0.0,0.898,0.102,0.1779,positive
2026-02-16,Best Stock to Buy Now: Alphabet vs. Amazon - The Motley Fool,AMZN,Google RSS,0.163,0.506,0.331,0.4588,positive
2026-02-17,"Berkshire Hathaway Takes Stake In New York Times, Cuts Apple, Amazon Holdings - Investor's Business Daily",AMZN,Google RSS,0.123,0.782,0.095,-0.128,negative
2026-02-20,Amazon Stock Enters Technical Bear Market as Tech Rotation Wipes Out Recent Gains - TIKR.com,AMZN,Google RSS,0.0,0.76,0.24,0.4767,positive
2026-02-20,"PCE data, Amazon dethrones Walmart, Silicon Valley's 'vanlords' and more in Morning Squawk - CNBC",AMZN,Google RSS,0.0,0.892,0.108,0.1779,positive
2026-02-18,"Warren Buffett Dumped Shares of Amazon, Apple, and Bank of America, and Added One Brand-New Stock in His Final Quarter Before Retirement - The Motley Fool",AMZN,Google RSS,0.178,0.698,0.124,-0.4019,negative
2026-02-20,"Amazon, Etsy, other e-commerce stocks pop after Supreme Court rules against Trump's tariffs - CNBC",AMZN,Google RSS,0.0,0.71,0.29,0.6486,positive
2026-02-22,Analysts Maintain Buy on Amazon (AMZN) Despite 18% Share Depreciation - Insider Monkey,AMZN,Google RSS,0.129,0.754,0.117,-0.0485,neutral
2026-02-20,Better Artificial Intelligence Stock: Alphabet vs. Amazon - Nasdaq,AMZN,Google RSS,0.0,0.438,0.562,0.7717,positive
2026-02-18,"Anthropic may share up to $6.4B with Amazon, Google, Microsoft in 2027: report - Seeking Alpha",AMZN,Google RSS,0.0,0.782,0.218,0.4404,positive
2026-02-19,Amazon dethrones Walmart as the world's biggest company by sales - NPR,AMZN,Google RSS,0.0,0.866,0.134,0.1779,positive
2026-02-18,"Amazon's losing streak, Berkshire's new position, the 'boomcession' and more in Morning Squawk - CNBC",AMZN,Google RSS,0.157,0.843,0.0,-0.3818,negative
2026-02-19,Amazon vs. Alphabet: Which Is the Better AI Stock to Buy Now? - The Motley Fool,AMZN,Google RSS,0.141,0.634,0.224,0.1779,positive
2026-02-21,Is Amazon the Most Underrated Chip Stock on the Market? - 24/7 Wall St.,AMZN,Google RSS,0.0,0.884,0.116,0.1779,positive
2026-02-19,Big Money Sees Big Value in Amazon: Should You Buy AMZN Stock Too? - Barchart.com,AMZN,Google RSS,0.0,0.76,0.24,0.4767,positive
2026-02-16,AWS Chief Matt Garman Just Delivered Wonderful News for Amazon Shareholders - The Motley Fool,AMZN,Google RSS,0.143,0.591,0.266,0.3612,positive
2026-02-19,3 No-Brainer AI Stocks to Buy Right Now - The Motley Fool,AMZN,Google RSS,0.209,0.791,0.0,-0.4404,negative
2026-02-19,"Amazon surpasses Walmart in annual revenue for first time, as both chase AI-fueled growth - CNBC",AMZN,Google RSS,0.0,0.765,0.235,0.5106,positive
2026-02-21,2 Growth Stocks to Hold for the Next Decade - The Motley Fool,AMZN,Google RSS,0.176,0.667,0.158,-0.0772,neutral
2026-02-19,Amazon vs. Alphabet: Which Is the Better AI Stock to Buy Now? - Nasdaq,AMZN,Google RSS,0.0,0.723,0.277,0.5574,positive
2026-02-20,"S&P 500 rises, Dow gains 200 points after Supreme Court strikes down Trump emergency tariffs: Live updates - CNBC",AMZN,Google RSS,0.195,0.575,0.23,0.2263,positive
